student_id,study_hours_per_week,attendance_rate,previous_grade,sleep_hours,extracurricular_count,part_time_job,internet_access,parental_education,study_group,final_exam_score
STU1046,16.4,100.0,70.6,6.3,3,0,1,Bachelor's,1,74.1
STU1004,2.2,97.9,68.3,,0,0,1,High School,0,63.2
STU1352,9.1,87.7,50.7,4.7,2,0,1,Bachelor's,0,55.3
STU1443,18.6,79.7,62.8,7.8,1,1,1,PhD,0,66.2
STU1288,10.5,,53.3,8.5,0,0,1,Bachelor's,0,66.3
STU1243,4.7,86.0,54.0,5.6,2,0,1,Bachelor's,0,53.0
STU1339,15.0,85.0,62.4,8.6,0,0,1,High School,0,76.4
STU1639,14.6,96.2,68.3,6.7,0,0,1,Master's,0,75.1
STU1247,21.2,90.4,58.6,6.1,3,0,1,High School,0,73.0
STU1692,16.8,78.8,86.4,8.0,0,0,1,Bachelor's,1,81.1
STU1393,14.3,92.5,83.6,6.1,0,0,1,Bachelor's,0,72.4
STU1600,14.6,96.8,65.5,8.4,1,0,1,Bachelor's,0,65.2
STU1201,19.0,77.7,77.3,8.6,2,0,1,High School,1,69.4
STU1712,6.8,94.0,88.4,8.9,0,0,1,Bachelor's,1,82.5
STU1091,11.5,79.4,53.1,5.9,3,0,1,Bachelor's,0,56.4
STU1086,9.7,97.4,65.5,6.9,2,0,1,High School,0,62.8
STU1799,12.2,74.3,79.1,6.3,1,0,1,Master's,0,69.1
STU1451,13.7,,57.3,8.7,2,1,1,Master's,1,83.9
STU1629,0.0,92.5,75.3,7.2,0,0,1,High School,1,50.0
STU1388,13.4,91.1,62.3,6.1,1,1,1,Master's,0,81.6
STU1126,19.3,83.3,60.7,6.7,0,1,1,Bachelor's,0,73.5
STU1389,4.9,83.6,55.7,6.2,1,0,1,Bachelor's,1,58.1
STU1016,13.8,81.0,100.0,5.8,4,0,1,Bachelor's,1,73.2
STU1313,14.2,82.6,37.0,5.3,3,0,0,,0,58.8
STU1157,16.9,100.0,99.2,7.9,1,1,1,Bachelor's,1,87.6
STU1532,9.8,93.8,67.5,8.3,2,0,1,Master's,0,66.2
STU1058,7.7,65.6,81.0,4.4,1,0,1,High School,1,54.6
STU1327,11.7,84.0,59.8,6.6,1,0,1,High School,0,61.4
STU1661,11.9,77.8,62.6,7.1,1,1,1,High School,1,67.1
STU1449,13.9,69.4,58.5,8.1,2,1,1,Bachelor's,1,60.0
STU1330,19.6,76.1,51.4,5.3,0,0,1,Bachelor's,0,50.6
STU1744,12.5,98.6,81.7,6.3,1,0,1,Bachelor's,1,79.9
STU1427,20.6,79.2,40.8,9.3,0,0,1,High School,1,66.3
STU1351,16.2,94.6,74.9,6.3,1,0,1,Bachelor's,0,65.7
STU1741,17.9,93.4,69.7,10.0,0,0,1,Master's,0,88.9
STU1206,7.8,91.7,77.7,5.5,1,0,1,Bachelor's,1,68.3
STU1271,13.6,73.9,65.3,8.7,1,0,1,High School,1,65.8
STU1756,7.4,77.7,73.8,10.0,0,1,1,Master's,1,60.4
STU1528,13.3,83.8,77.1,5.0,2,1,0,Bachelor's,0,62.5
STU1197,10.0,86.2,70.2,7.2,1,0,0,,0,49.2
STU1469,7.2,90.9,69.6,7.5,1,0,1,PhD,1,67.5
STU1530,10.2,66.2,73.2,5.8,0,0,1,Bachelor's,0,67.4
STU1645,11.3,87.9,64.6,6.3,2,1,0,High School,0,69.3
STU1175,12.9,74.6,75.6,7.3,2,1,1,Master's,0,78.5
STU1658,18.1,100.0,85.0,5.9,0,0,1,Bachelor's,0,70.0
STU1579,13.8,99.7,67.5,9.8,1,0,1,Master's,0,66.6
STU1246,6.5,79.6,72.4,8.9,2,0,1,Master's,1,71.4
STU1233,18.0,89.9,77.0,,0,0,1,Bachelor's,0,74.0
STU1700,17.6,,66.1,5.5,0,0,1,Bachelor's,0,59.6
STU1039,15.3,81.6,69.6,6.6,2,0,1,High School,1,62.7
STU1535,15.2,100.0,67.8,3.2,1,0,0,PhD,1,77.4
STU1031,10.0,100.0,62.0,8.1,3,1,1,High School,1,69.1
STU1627,18.8,94.2,79.0,5.0,1,1,1,High School,0,85.2
STU1291,12.8,85.1,62.6,5.5,1,0,1,High School,1,72.6
STU1180,18.5,,81.7,5.5,7,0,1,Master's,0,94.6
STU1518,16.5,70.1,74.6,5.5,0,1,1,Bachelor's,1,65.3
STU1499,4.5,75.3,90.5,7.9,2,1,1,High School,1,70.5
STU1112,9.0,90.6,79.7,7.1,1,1,0,Bachelor's,1,70.8
STU1399,8.5,74.4,98.6,6.0,2,0,1,High School,1,72.4
STU1132,15.2,96.7,69.4,7.1,0,1,1,High School,0,79.6
STU1580,0.0,97.3,97.5,6.7,3,1,1,Bachelor's,0,72.8
STU1194,6.5,83.9,49.8,4.7,1,1,1,Master's,0,43.0
STU1478,12.0,88.6,46.1,5.7,1,0,1,Bachelor's,0,64.1
STU1782,21.0,90.5,53.6,5.9,1,0,0,Bachelor's,1,69.1
STU1448,17.6,83.3,73.2,7.8,3,0,1,High School,1,65.3
STU1506,24.1,75.0,88.8,8.3,1,0,1,High School,0,62.4
STU1362,17.0,82.5,68.7,6.1,1,0,1,PhD,1,67.5
STU1703,11.7,88.3,66.8,,3,1,1,Master's,1,65.7
STU1266,12.8,74.3,69.5,6.3,1,1,1,Bachelor's,1,68.9
STU1005,5.5,96.0,88.3,4.7,2,1,1,Bachelor's,1,84.8
STU1290,10.7,79.0,84.3,5.1,2,0,1,PhD,0,87.9
STU1199,11.2,93.2,66.7,8.1,5,1,1,Master's,1,86.1
STU1586,6.1,,70.5,7.1,0,0,0,High School,0,45.8
STU1159,6.1,89.1,72.8,8.7,1,0,0,Bachelor's,0,77.9
STU1457,7.8,84.6,50.3,7.0,1,1,1,Master's,1,56.2
STU1097,7.0,76.4,100.0,3.9,1,0,1,High School,1,74.7
STU1328,6.1,82.6,82.4,9.2,2,0,1,High School,1,64.1
STU1235,8.7,85.0,73.1,8.4,1,0,1,Master's,1,72.2
STU1576,18.7,90.6,77.8,5.8,2,0,1,Bachelor's,1,72.0
STU1415,13.0,71.2,73.9,6.1,1,0,1,High School,1,53.2
STU1127,6.1,89.1,65.6,6.3,1,0,1,High School,1,53.8
STU1527,12.7,69.1,65.7,7.2,0,0,1,High School,0,52.7
STU1498,2.0,73.4,50.3,5.7,2,0,1,Master's,1,41.0
STU1431,14.4,73.8,66.1,8.1,0,1,1,High School,1,57.6
STU1064,15.6,78.1,86.3,5.9,4,0,1,Bachelor's,0,90.8
STU1014,14.3,78.7,63.9,8.2,0,0,1,Bachelor's,0,65.2
STU1170,8.7,82.2,66.6,9.8,1,1,1,High School,1,65.8
STU1668,9.4,70.7,49.8,9.5,1,0,1,Bachelor's,1,61.6
STU1136,13.6,73.5,55.6,5.7,2,1,0,PhD,0,53.9
STU1447,10.3,66.9,78.0,6.0,1,0,1,High School,1,79.1
STU1550,13.9,82.5,71.2,5.3,0,1,1,Bachelor's,0,61.0
STU1747,14.6,77.0,63.7,6.7,1,0,1,,1,76.4
STU1568,14.7,97.5,63.1,9.4,1,1,1,High School,1,60.9
STU1571,11.7,93.3,59.1,6.7,0,1,1,Master's,1,69.0
STU1454,12.3,77.7,76.4,5.7,1,0,1,Master's,0,66.9
STU1751,10.5,77.8,79.5,5.6,1,0,1,Bachelor's,0,73.8
STU1293,0.0,86.8,46.1,6.3,4,0,1,Bachelor's,0,43.8
STU1019,11.8,,62.9,3.8,0,0,1,Master's,0,59.6
STU1724,7.4,80.8,43.4,7.1,0,0,1,High School,0,63.7
STU1107,10.3,72.2,75.1,7.3,2,1,1,High School,0,73.6
STU1322,17.9,77.5,48.9,4.5,4,0,1,Master's,0,66.5
STU1675,13.7,83.4,35.2,5.7,1,0,1,Bachelor's,0,47.1
STU1105,11.0,100.0,94.8,,1,0,1,Bachelor's,0,79.0
STU1099,7.5,69.6,74.4,8.4,2,0,1,High School,1,65.1
STU1670,15.9,86.1,77.0,7.9,2,1,1,Master's,0,78.8
STU1765,3.1,78.7,89.8,7.2,1,0,1,High School,0,56.7
STU1378,20.0,88.7,90.9,7.4,1,0,1,Master's,0,99.9
STU1694,7.9,81.5,86.0,9.2,1,0,1,PhD,1,68.4
STU1109,3.4,74.2,70.0,6.4,1,0,1,Bachelor's,0,56.1
STU1355,13.2,86.1,59.7,5.2,3,1,1,Master's,1,72.4
STU1477,6.3,100.0,72.6,6.1,1,1,1,Bachelor's,0,65.0
STU1251,13.7,83.0,74.8,4.3,1,1,1,PhD,1,75.5
STU1626,9.9,93.2,73.8,7.8,1,1,0,Bachelor's,0,68.6
STU1479,25.0,82.8,61.0,7.3,0,0,1,Master's,1,79.4
STU1771,18.8,82.8,69.1,7.7,2,0,1,High School,1,80.8
STU1619,19.3,85.3,54.2,4.1,0,0,1,Bachelor's,0,67.6
STU1030,22.7,89.0,57.4,4.8,0,0,0,Bachelor's,0,70.8
STU1263,9.2,96.3,84.3,4.9,3,0,1,Bachelor's,0,74.3
STU1357,13.4,,57.6,7.2,0,0,1,Bachelor's,0,51.8
STU1232,13.6,80.0,58.6,6.7,1,1,1,Master's,0,57.4
STU1417,18.6,62.5,64.1,7.8,0,1,1,PhD,1,54.9
STU1239,9.4,91.8,,6.0,1,0,1,Master's,0,55.6
STU1577,18.2,86.8,,,0,1,1,Bachelor's,0,79.0
STU1628,6.8,91.5,98.2,5.7,2,1,1,High School,1,84.4
STU1696,0.4,88.2,100.0,8.5,2,0,1,Master's,1,61.7
STU1116,13.2,99.4,65.0,6.8,1,0,1,High School,0,65.8
STU1377,2.0,86.5,74.6,6.2,3,0,1,High School,0,63.5
STU1068,16.3,79.2,75.4,7.7,1,0,1,Bachelor's,0,63.0
STU1244,22.6,77.4,56.3,8.7,1,0,1,Master's,0,76.4
STU1719,6.9,65.7,68.8,5.2,3,0,1,Master's,0,57.9
STU1111,13.2,89.0,44.7,9.0,2,1,0,Bachelor's,0,60.3
STU1145,9.9,81.4,62.7,6.2,0,0,1,Master's,0,52.4
STU1539,8.1,82.9,87.1,5.8,1,0,1,Bachelor's,1,79.9
STU1115,9.4,96.6,73.5,6.0,1,1,1,Bachelor's,0,74.1
STU1143,13.3,97.0,56.3,7.8,1,0,1,High School,1,70.5
STU1236,1.3,94.9,74.6,6.4,1,0,1,Master's,0,60.0
STU1279,13.3,99.4,52.5,7.4,1,0,1,PhD,0,75.3
STU1354,17.3,92.0,74.6,8.2,2,0,1,Master's,1,73.9
STU1349,19.4,95.3,96.0,7.8,2,0,1,High School,0,84.8
STU1037,7.8,99.3,83.7,7.2,2,0,1,High School,1,73.8
STU1767,9.2,86.6,67.3,6.0,1,1,1,Master's,1,64.0
STU1524,19.0,87.3,71.7,5.9,3,0,1,PhD,0,77.9
STU1224,12.5,63.9,61.4,6.1,2,0,1,High School,0,54.8
STU1106,7.2,82.7,66.6,8.8,1,0,1,Bachelor's,1,65.1
STU1558,5.8,80.9,80.1,7.0,1,0,1,Bachelor's,0,76.6
STU1095,4.8,95.5,76.9,9.7,1,1,0,High School,1,58.9
STU1682,18.3,86.1,85.3,7.1,1,0,1,Master's,1,73.9
STU1584,15.6,67.5,51.1,5.1,1,1,1,High School,1,47.3
STU1693,0.7,74.3,66.9,5.8,1,0,1,Bachelor's,1,47.0
STU1521,7.6,,72.5,7.1,0,0,1,High School,1,64.6
STU1329,9.4,64.0,80.8,5.2,2,1,1,High School,1,57.8
STU1665,3.5,85.4,81.5,6.8,2,0,1,High School,0,70.0
STU1134,4.6,88.1,65.8,6.6,3,1,1,,0,59.4
STU1578,10.7,87.9,,6.0,3,1,1,High School,1,79.9
STU1668,9.4,70.7,49.8,9.5,1,0,1,Bachelor's,1,61.6
STU1215,17.0,74.8,66.5,5.9,4,1,1,High School,0,65.7
STU1663,10.3,89.6,69.7,7.0,1,0,1,Bachelor's,1,66.5
STU1592,21.1,79.6,60.0,6.7,1,1,1,PhD,1,72.2
STU1192,10.1,100.0,75.3,7.4,1,1,1,High School,1,65.9
STU1342,12.4,65.0,57.3,5.7,1,0,1,Bachelor's,1,62.4
STU1461,7.8,86.0,92.7,7.6,0,0,1,High School,0,78.9
STU1796,17.0,88.2,66.7,5.1,0,0,1,High School,1,56.5
STU1729,6.4,91.2,84.0,7.3,1,0,1,High School,0,81.5
STU1169,11.8,85.3,,7.4,2,0,0,PhD,0,75.2
STU1424,7.6,76.0,56.0,6.8,2,1,1,High School,1,46.8
STU1053,10.4,85.3,67.4,5.7,2,1,1,High School,0,66.0
STU1439,14.1,100.0,75.5,6.9,0,0,1,Bachelor's,1,75.9
STU1708,10.9,100.0,87.5,5.1,2,0,1,Master's,1,84.1
STU1689,9.9,86.8,53.0,8.1,1,1,1,Bachelor's,0,60.9
STU1151,6.8,89.5,64.6,6.7,1,0,1,Bachelor's,1,53.8
STU1230,4.7,96.9,81.0,6.9,1,0,1,High School,1,77.5
STU1630,20.1,82.3,77.8,6.7,1,1,1,High School,1,71.7
STU1799,12.2,74.3,79.1,6.3,1,0,1,Master's,0,69.1
STU1565,15.7,88.8,87.0,4.7,1,1,1,High School,0,79.1
STU1701,10.8,78.8,61.3,6.1,1,0,1,Bachelor's,0,73.8
STU1188,5.2,82.0,75.6,7.2,2,1,1,Master's,0,65.6
STU1450,11.3,94.7,81.2,6.6,4,0,0,Bachelor's,1,68.0
STU1638,14.9,72.5,61.2,5.7,2,1,0,PhD,0,72.2
STU1185,19.7,91.3,86.6,8.1,2,0,1,Master's,1,71.1
STU1043,13.2,84.1,79.8,7.8,1,0,1,Bachelor's,1,77.8
STU1142,1.3,89.9,78.1,6.4,1,1,1,Bachelor's,1,56.4
STU1632,10.0,76.3,56.6,5.2,1,0,1,High School,0,68.6
STU1644,10.3,83.6,77.9,7.1,3,0,1,Bachelor's,0,68.5
STU1385,8.0,71.2,68.5,6.9,1,0,1,Master's,0,74.3
STU1333,6.9,98.8,87.5,6.2,0,0,1,Master's,0,75.5
STU1766,12.4,73.4,85.4,5.7,2,1,0,Master's,1,75.4
STU1150,11.2,67.8,62.7,4.6,1,0,0,Master's,0,59.8
STU1067,9.7,80.9,72.0,8.5,1,0,0,Master's,1,71.1
STU1400,11.1,71.8,66.6,6.5,3,1,1,Bachelor's,0,59.0
STU1381,18.5,93.5,65.3,5.9,0,0,1,Master's,0,79.2
STU1653,6.5,81.0,43.4,6.7,3,1,0,Bachelor's,1,55.1
STU1346,9.0,89.7,63.0,8.2,3,0,1,Bachelor's,1,67.0
STU1512,12.5,78.2,82.9,6.8,2,0,1,High School,0,72.0
STU1376,11.0,77.4,49.3,7.5,1,0,1,High School,0,53.3
STU1569,12.9,94.6,64.6,6.8,0,0,0,Bachelor's,0,68.6
STU1554,11.6,100.0,74.7,4.0,1,0,1,High School,0,68.5
STU1386,14.2,81.8,,6.8,2,1,1,High School,1,63.1
STU1617,13.2,95.0,70.8,8.2,0,0,1,PhD,1,78.3
STU1131,5.1,89.5,71.6,7.5,0,0,0,High School,0,59.0
STU1634,10.4,87.4,60.9,8.2,3,1,1,Master's,1,67.8
STU1283,14.3,85.6,73.2,5.9,1,1,1,High School,1,78.5
STU1707,14.8,84.6,72.2,7.0,1,1,1,High School,0,77.7
STU1130,10.1,85.1,70.9,8.3,0,0,0,Bachelor's,0,68.0
STU1419,18.8,98.2,77.7,7.9,1,1,1,High School,0,87.2
STU1301,4.3,91.1,84.9,5.4,0,0,1,High School,0,60.3
STU1114,12.4,94.9,59.8,7.0,1,0,1,High School,0,69.6
STU1490,17.4,86.7,74.3,5.7,2,1,1,Bachelor's,0,69.7
STU1347,15.0,81.2,61.1,6.2,2,0,1,Bachelor's,1,66.0
STU1401,13.0,80.1,64.0,8.1,2,0,1,Bachelor's,0,74.5
STU1666,3.9,72.1,79.3,7.1,0,1,1,PhD,1,54.4
STU1271,13.6,73.9,65.3,8.7,1,0,1,High School,1,65.8
STU1284,6.4,86.1,47.9,4.9,1,1,1,PhD,0,55.5
STU1129,7.4,85.8,72.5,6.1,0,0,1,Bachelor's,0,58.8
STU1706,7.4,63.9,95.2,7.8,0,1,1,High School,1,66.4
STU1534,4.2,89.1,62.4,5.8,0,1,1,Bachelor's,0,51.7
STU1210,16.6,72.7,48.6,4.6,0,0,1,Master's,0,53.3
STU1591,13.2,99.8,60.8,8.9,3,0,1,High School,0,54.0
STU1713,11.9,65.0,72.7,7.8,1,0,1,Bachelor's,1,53.3
STU1397,13.1,75.7,70.9,6.5,2,0,1,PhD,0,68.0
STU1040,15.7,100.0,54.3,6.9,1,0,1,Bachelor's,1,69.7
STU1306,10.3,71.4,72.4,7.3,0,1,0,Master's,0,66.7
STU1536,9.3,89.7,75.0,4.5,1,0,1,Bachelor's,0,71.1
STU1204,1.7,,73.1,8.3,1,1,1,High School,1,53.6
STU1272,11.5,82.7,64.6,6.2,1,1,1,,0,62.3
STU1008,11.9,81.8,69.4,3.7,2,0,1,,1,59.1
STU1529,19.8,92.4,84.8,6.4,1,1,1,High School,0,74.0
STU1070,5.6,87.8,70.9,6.2,0,1,1,Bachelor's,0,60.3
STU1750,12.1,69.3,79.8,7.2,1,1,1,Bachelor's,1,54.0
STU1542,13.2,89.4,100.0,6.8,2,0,1,Master's,1,74.7
STU1007,10.4,72.6,74.3,,1,1,1,Bachelor's,1,64.2
STU1678,13.9,81.1,65.4,5.2,2,0,1,High School,1,63.4
STU1336,8.6,,71.6,5.6,1,1,1,Bachelor's,1,61.6
STU1395,12.7,100.0,76.7,7.7,1,1,1,Master's,1,83.8
STU1093,11.6,85.4,65.6,5.8,7,1,1,Bachelor's,0,63.6
STU1358,7.7,60.5,68.6,7.8,1,0,1,High School,1,60.1
STU1356,13.2,85.0,82.9,7.6,1,0,1,Bachelor's,1,61.2
STU1079,10.5,84.7,68.6,6.4,2,0,1,Master's,0,70.9
STU1412,8.6,83.1,79.9,6.3,2,0,1,Master's,0,73.3
STU1049,12.3,94.7,63.7,7.9,1,0,1,Master's,1,63.4
STU1250,10.2,72.6,64.3,5.4,2,0,0,High School,0,58.5
STU1147,11.3,55.7,75.8,9.4,0,0,1,,0,53.5
STU1774,12.1,70.5,67.7,,0,0,0,High School,0,59.2
STU1057,19.5,89.2,50.9,6.0,1,0,1,High School,1,59.0
STU1784,12.1,83.8,80.2,7.7,1,0,0,Bachelor's,1,83.8
STU1635,10.6,84.2,59.5,7.4,3,0,1,Master's,0,67.4
STU1651,11.1,90.1,71.0,5.6,2,0,1,Master's,1,66.6
STU1055,8.8,85.1,53.2,6.9,1,0,0,High School,1,48.1
STU1411,0.3,80.1,93.3,6.3,4,0,0,Bachelor's,0,58.4
STU1761,15.2,86.4,60.0,7.5,1,0,1,Bachelor's,0,72.3
STU1745,16.7,82.6,60.4,7.3,2,1,1,Master's,0,80.1
STU1371,18.6,65.9,68.3,7.5,4,1,1,Bachelor's,1,76.5
STU1442,13.8,100.0,95.0,7.6,0,1,0,High School,0,81.5
STU1338,17.8,84.1,63.9,10.0,0,0,1,High School,1,83.0
STU1589,20.1,75.8,78.6,8.6,0,1,1,High School,0,71.1
STU1522,18.7,84.8,62.3,5.1,0,0,1,High School,0,72.4
STU1025,10.2,85.3,85.6,8.3,0,1,1,Bachelor's,0,67.8
STU1047,13.1,93.5,86.0,6.2,3,1,1,PhD,0,68.5
STU1174,5.6,75.0,85.4,6.7,0,0,1,Bachelor's,1,79.2
STU1797,17.3,87.4,69.8,6.5,0,0,1,High School,0,54.8
STU1059,16.8,91.7,73.5,,1,0,1,PhD,1,82.1
STU1153,9.6,73.4,65.2,4.1,0,0,1,Master's,0,67.2
STU1487,14.2,84.8,66.4,7.0,0,0,1,High School,1,66.6
STU1582,10.5,81.8,49.7,6.5,2,1,1,Master's,0,58.1
STU1161,8.4,86.3,62.7,6.9,1,0,1,Master's,1,70.1
STU1244,22.6,77.4,56.3,8.7,1,0,1,Master's,0,76.4
STU1735,12.8,75.4,73.0,5.3,1,1,1,Master's,0,69.9
STU1158,9.5,85.0,59.6,8.7,0,0,1,High School,1,42.4
STU1472,10.6,81.3,48.3,5.4,1,0,0,High School,1,66.7
STU1326,4.1,100.0,65.0,5.6,1,1,1,Master's,0,69.0
STU1595,9.9,100.0,49.7,5.8,1,0,1,Bachelor's,1,68.2
STU1467,21.7,91.6,71.6,8.8,1,1,1,High School,1,70.2
STU1382,4.0,77.0,72.4,7.5,1,0,1,Master's,1,57.2
STU1637,6.4,55.4,70.9,6.7,2,1,1,High School,0,64.6
STU1179,13.4,89.4,89.5,8.6,3,0,1,High School,0,65.1
STU1620,9.8,82.8,73.1,5.2,0,1,1,Bachelor's,0,63.2
STU1464,6.4,84.5,68.3,5.4,1,0,0,,0,66.1
